,max_depth,min_samples_split,min_samples_leaf,P_lag_1,P_lag_2,P_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
0,16.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.3904742060508264,11.276569746142131,0.045811119264164826,0.0014766304193575821,2.2407260768717836,9.764612398633997,0.04409677878901739,-0.04170674297929371,2.4484896385534936,10.442640689415493,0.032629444544963526,-0.0003763445107674013
1,5.0,11.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842936067241544,2.31851579225959,0.9401607673554973,0.7946796391796603,1.065985961507621,2.2284394665028486,0.9268036244328502,0.7535916739893557,1.0660309417061529,2.2363008418915715,0.9359355917761675,0.7857685112439636
2,5.0,4.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842936067241544,2.31851579225959,0.9401607673554973,0.7946796391796603,1.065985961507621,2.2284394665028486,0.9268036244328502,0.7535916739893557,1.0660309417061529,2.2363008418915715,0.9359355917761675,0.7857685112439636
3,5.0,13.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0844783633845574,2.3187569431138098,0.9401532705772548,0.7946579266074613,1.0659200878232005,2.2283866729415216,0.926802625642288,0.7536002358308012,1.0660309417061529,2.2363008418915715,0.9359355917761675,0.7857685112439636
4,5.0,10.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842936067241544,2.31851579225959,0.9401607673554973,0.7946796391796603,1.065985961507621,2.2284394665028486,0.9268036244328502,0.7535916739893557,1.0660309417061529,2.2363008418915715,0.9359355917761675,0.7857685112439636
5,5.0,4.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842936067241544,2.31851579225959,0.9401607673554973,0.7946796391796603,1.065985961507621,2.2284394665028486,0.9268036244328502,0.7535916739893557,1.0660309417061529,2.2363008418915715,0.9359355917761675,0.7857685112439636
6,5.0,18.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842936067241544,2.31851579225959,0.9401607673554973,0.7946796391796603,1.065985961507621,2.2284394665028486,0.9268036244328502,0.7535916739893557,1.0660309417061529,2.2363008418915715,0.9359355917761675,0.7857685112439636
7,5.0,3.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0844783633845574,2.3187569431138098,0.9401532705772548,0.7946579266074613,1.0659200878232005,2.2283866729415216,0.926802625642288,0.7536002358308012,1.0660309417061529,2.2363008418915715,0.9359355917761675,0.7857685112439636
8,5.0,17.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842936067241544,2.31851579225959,0.9401607673554973,0.7946796391796603,1.065985961507621,2.2284394665028486,0.9268036244328502,0.7535916739893557,1.0660309417061529,2.2363008418915715,0.9359355917761675,0.7857685112439636
9,5.0,19.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0844783633845574,2.3187569431138098,0.9401532705772548,0.7946579266074613,1.0659200878232005,2.2283866729415216,0.926802625642288,0.7536002358308012,1.0660309417061529,2.2363008418915715,0.9359355917761675,0.7857685112439636
10,5.0,3.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0844783633845574,2.3187569431138098,0.9401532705772548,0.7946579266074613,1.0659200878232005,2.2283866729415216,0.926802625642288,0.7536002358308012,1.0660309417061529,2.2363008418915715,0.9359355917761675,0.7857685112439636
11,5.0,10.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0844783633845574,2.3187569431138098,0.9401532705772548,0.7946579266074613,1.0659200878232005,2.2283866729415216,0.926802625642288,0.7536002358308012,1.0660309417061529,2.2363008418915715,0.9359355917761675,0.7857685112439636
12,5.0,14.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0844783633845574,2.3187569431138098,0.9401532705772548,0.7946579266074613,1.0659200878232005,2.2283866729415216,0.926802625642288,0.7536002358308012,1.0660309417061529,2.2363008418915715,0.9359355917761675,0.7857685112439636
13,5.0,19.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0844783633845574,2.3187569431138098,0.9401532705772548,0.7946579266074613,1.0659200878232005,2.2283866729415216,0.926802625642288,0.7536002358308012,1.0660309417061529,2.2363008418915715,0.9359355917761675,0.7857685112439636
14,5.0,9.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842936067241544,2.31851579225959,0.9401607673554973,0.7946796391796603,1.065985961507621,2.2284394665028486,0.9268036244328502,0.7535916739893557,1.0660309417061529,2.2363008418915715,0.9359355917761675,0.7857685112439636
